lon,lat,obs,inv,rec,yao,shen
100.5,30.3,-444.489728271,-445.752690918,-478.502676758,-340.320974121,-488.768553223
100.7,30.3,-454.775941982,-453.629483297,-488.702407887,-333.976069682,-487.585269076
100.9,30.3,-412.559339539,-414.100243029,-484.598283299,-330.556624586,-473.24675473
101.1,30.3,-423.650199773,-424.08955601,-477.556066828,-330.119752799,-468.029409
101.3,30.3,-427.072944518,-426.417617447,-460.375437291,-339.094468352,-462.567028672
101.5,30.3,-410.038284424,-410.892470459,-449.23281543,-339.900489502,-455.763100342
101.7,30.3,-413.581719725,-411.891968041,-436.286619578,-337.308421137,-445.080595043
101.9,30.3,-349.739873193,-352.644672586,-412.887452447,-313.431709201,-436.751192844
102.1,30.3,-374.725600354,-372.903815807,-388.887331271,-298.769429418,-414.609079504
102.3,30.3,-327.047932146,-327.496939486,-360.569440285,-269.950740584,-382.898159189
102.5,30.3,-293.734282471,-293.966895752,-338.083108398,-235.563523071,-352.955031006
102.7,30.3,-259.951455664,-260.721229135,-312.56082073,-230.257653384,-320.059741082
102.9,30.3,-261.926010284,-261.108953605,-277.787874045,-195.805450695,-284.854918549
103.1,30.3,-223.20711304,-223.893132598,-250.694297223,-166.350588573,-250.732007145
103.3,30.3,-206.901384585,-206.927596892,-228.447297872,-140.810806188,-248.816552788
103.5,30.3,-190.227869507,-190.301006226,-231.06192981,-107.5811297,-230.441047852
